iter	Passed	Remaining
166	5577	27820
167	5594	27703
168	5616	27615
169	5635	27513
170	5661	27446
171	5681	27348
172	5720	27344
173	5752	27307
174	5785	27274
175	5815	27227
176	5838	27147
177	5868	27099
178	5886	26999
179	5913	26939
180	5935	26859
181	5965	26811
182	5986	26726
183	6008	26646
184	6030	26565
185	6051	26482
186	6071	26398
187	6096	26330
188	6125	26282
189	6151	26226
190	6172	26145
191	6193	26066
192	6226	26036
193	6246	25950
194	6264	25859
195	6288	25794
196	6309	25719
197	6334	25656
198	6355	25582
199	6390	25561
200	6416	25505
201	6450	25481
202	6535	25659
203	6571	25641
204	6600	25597
205	6626	25542
206	6664	25531
207	6705	25533
208	6747	25538
209	6783	25520
210	6811	25471
211	6832	25396
212	6856	25333
213	6877	25261
214	6899	25191
215	6927	25145
216	6949	25076
217	6975	25022
218	6998	24958
219	7016	24878
220	7039	24812
221	7070	24780
222	7091	24710
223	7111	24636
224	7136	24581
225	7154	24504
226	7173	24428
227	7207	24405
228	7236	24364
229	7257	24295
230	7275	24221
231	7297	24155
232	7315	24082
233	7336	24014
234	7354	23942
235	7382	23900
236	7404	23838
237	7423	23768
238	7440	23691
239	7457	23613
240	7481	23561
241	7501	23496
242	7520	23427
243	7537	23352
244	7555	23283
245	7572	23210
246	7588	23133
247	7606	23064
248	7624	22994
249	7642	22926
250	7665	22874
251	7697	22847
252	7717	22786
253	7740	22733
254	7762	22677
255	7781	22614
256	7802	22558
257	7821	22494
258	7841	22434
259	7857	22364
260	7882	22319
261	7904	22264
262	7921	22197
263	7945	22151
264	7961	22081
265	7982	22027
266	7999	21960
267	8017	21898
268	8035	21835
269	8055	21778
270	8075	21722
271	8096	21668
272	8115	21610
273	8136	21558
274	8156	21502
275	8180	21459
276	8200	21404
277	8220	21349
278	8241	21297
279	8270	21267
280	8298	21234
281	8319	21181
282	8340	21130
283	8364	21086
284	8384	21034
285	8406	20985
286	8428	20940
287	8448	20886
288	8465	20827
289	8488	20783
290	8507	20728
291	8523	20667
292	8540	20607
293	8558	20551
294	8584	20516
295	8605	20466
296	8621	20408
297	8640	20355
298	8679	20349
299	8707	20316
300	8727	20267
301	8749	20222
302	8768	20170
303	8786	20116
304	8802	20058
305	8819	20001
306	8837	19949
307	8856	19897
308	8874	19844
309	8894	19797
310	8916	19752
311	8931	19695
312	8954	19653
313	8978	19615
314	8995	19561
315	9011	19505
316	9028	19452
317	9048	19404
318	9068	19359
319	9100	19338
320	9120	19292
321	9137	19240
322	9154	19188
323	9176	19145
324	9193	19093
325	9211	19044
326	9229	18994
327	9246	18944
328	9261	18889
329	9289	18859
330	9311	18820
331	9328	18769
332	9344	18717
333	9359	18662
334	9376	18613
335	9393	18562
336	9408	18509
337	9425	18460
338	9440	18407
339	9456	18357
340	9475	18312
341	9501	18280
342	9520	18236
343	9538	18189
344	9554	18139
345	9570	18089
346	9586	18040
347	9602	17990
348	9635	17972
349	9668	17956
350	9706	17946
351	9730	17912
352	9755	17880
353	9778	17843
354	9798	17803
355	9818	17761
356	9847	17735
357	9881	17720
358	9909	17693
359	9939	17669
360	9961	17632
361	9982	17594
362	10005	17558
363	10031	17527
364	10059	17501
365	10090	17478
366	10110	17438
367	10129	17395
368	10151	17359
369	10169	17315
370	10186	17269
371	10202	17224
372	10220	17179
373	10236	17134
374	10278	17130
375	10308	17107
376	10324	17061
377	10339	17013
378	10357	16971
379	10374	16926
380	10390	16880
381	10404	16832
382	10423	16791
383	10442	16750
384	10463	16713
385	10479	16668
386	10494	16622
387	10509	16577
388	10528	16537
389	10548	16498
390	10569	16462
391	10584	16417
392	10629	16418
393	10657	16392
394	10677	16354
395	10701	16322
396	10734	16304
397	10754	16266
398	10774	16229
399	10790	16185
400	10809	16146
401	10828	16107
402	10859	16086
403	10898	16077
404	10928	16055
405	10955	16028
406	10992	16016
407	11024	15996
408	11070	15996
409	11115	15995
410	11150	15979
411	11175	15949
412	11202	15922
413	11228	15893
414	11256	15868
415	11282	15839
416	11304	15804
417	11327	15771
418	11350	15739
419	11371	15703
420	11389	15664
421	11408	15626
422	11427	15588
423	11444	15547
424	11461	15507
425	11479	15467
426	11499	15432
427	11515	15390
428	11530	15347
429	11554	15316
430	11571	15277
431	11622	15281
432	11644	15247
433	11660	15206
434	11675	15165
435	11693	15126
436	11713	15091
437	11734	15057
438	11755	15022
439	11773	14984
440	11795	14951
441	11812	14912
442	11831	14876
443	11851	14840
444	11868	14802
445	11885	14764
446	11902	14725
447	11923	14691
448	11947	14661
449	11990	14655
450	12013	14623
451	12029	14584
452	12048	14549
453	12066	14511
454	12082	14472
455	12099	14434
456	12119	14400
457	12141	14368
458	12157	14329
459	12174	14292
460	12190	14253
461	12207	14215
462	12230	14185
463	12246	14147
464	12263	14109
465	12279	14071
466	12297	14035
467	12319	14004
468	12338	13970
469	12355	13933
470	12374	13897
471	12408	13880
472	12428	13847
473	12446	13811
474	12463	13775
475	12481	13740
476	12498	13703
477	12515	13667
478	12533	13632
479	12551	13597
480	12588	13582
481	12611	13553
482	12633	13523
483	12656	13493
484	12679	13464
485	12700	13432
486	12727	13407
487	12744	13371
488	12761	13335
489	12780	13302
490	12812	13282
491	12830	13247
492	12847	13212
493	12864	13177
494	12881	13142
495	12912	13120
496	12935	13092
497	12958	13062
498	12977	13029
499	12994	12994
500	13010	12958
501	13026	12922
502	13044	12889
503	13066	12858
504	13082	12823
505	13105	12794
506	13130	12767
507	13152	12738
508	13171	12705
509	13187	12670
510	13207	12639
511	13224	12605
512	13242	12571
513	13258	12536
514	13282	12508
515	13301	12476
516	13317	12441
517	13333	12406
518	13350	12373
519	13366	12338
520	13384	12305
521	13403	12273
522	13419	12239
523	13436	12205
524	13455	12174
525	13472	12140
526	13494	12111
527	13513	12080
528	13534	12050
529	13565	12029
530	13587	12001
531	13615	11977
532	13635	11946
533	13650	11912
534	13666	11878
535	13683	11845
536	13711	11822
537	13732	11792
538	13751	11761
539	13769	11729
540	13787	11697
541	13804	11665
542	13822	11633
543	13838	11600
544	13858	11569
545	13875	11537
546	13896	11508
547	13917	11479
548	13938	11450
549	13960	11422
550	13975	11388
551	14004	11366
552	14023	11335
553	14039	11302
554	14057	11271
555	14080	11244
556	14096	11211
557	14113	11179
558	14131	11148
559	14147	11115
560	14164	11083
561	14185	11055
562	14201	11022
563	14217	10991
564	14235	10960
565	14249	10926
566	14269	10897
567	14291	10869
568	14307	10837
569	14324	10806
570	14341	10775
571	14358	10743
572	14378	10715
573	14395	10683
574	14411	10651
575	14431	10623
576	14455	10597
577	14476	10569
578	14494	10539
579	14524	10517
580	14553	10495
581	14569	10464
582	14586	10433
583	14606	10404
584	14624	10374
585	14652	10351
586	14735	10367
587	14760	10342
588	14849	10361
589	14936	10379
590	15030	10401
591	15182	10463
592	15268	10479
593	15322	10473
594	15376	10466
595	15464	10482
596	15682	10586
597	15849	10654
598	16191	10839
599	16405	10936
600	16442	10916
601	16472	10890
602	16539	10889
603	16568	10862
604	16597	10836
605	16636	10816
606	16664	10789
607	16687	10759
608	16734	10744
609	16768	10720
610	16816	10706
611	16837	10674
612	16871	10651
613	16912	10632
614	16943	10606
615	16976	10582
616	17024	10568
617	17067	10549
618	17100	10525
619	17134	10501
620	17169	10478
621	17216	10462
622	17293	10465
623	17328	10441
624	17392	10435
625	17523	10469
626	17559	10446
627	17600	10425
628	17648	10409
629	17675	10381
630	17703	10352
631	17729	10323
632	17750	10291
633	17785	10267
634	17805	10234
635	17827	10203
636	17850	10172
637	17874	10142
638	17900	10112
639	17932	10086
640	17957	10057
641	17991	10032
642	18023	10006
643	18079	9994
644	18118	9972
645	18149	9945
646	18176	9917
647	18200	9886
648	18256	9873
649	18296	9852
650	18334	9828
651	18355	9797
652	18412	9784
653	18515	9795
654	18555	9773
655	18584	9745
656	18638	9730
657	18686	9712
658	18712	9682
659	18742	9655
660	18767	9625
661	18802	9600
662	18849	9580
663	18932	9580
664	18950	9546
665	18973	9515
666	18992	9481
667	19013	9449
668	19034	9417
669	19054	9384
670	19071	9351
671	19092	9319
672	19110	9285
673	19128	9252
674	19146	9218
675	19174	9189
676	19211	9165
677	19251	9143
678	19335	9140
679	19375	9118
680	19485	9127
681	19551	9116
682	19652	9121
683	19797	9146
684	19847	9126
685	19882	9100
686	19922	9076
687	19998	9069
688	20038	9044
689	20077	9020
690	20113	8994
691	20178	8981
692	20256	8973
693	20294	8948
694	20320	8917
695	20351	8889
696	20382	8860
697	20437	8842
698	20485	8821
699	20519	8793
700	20548	8764
701	20576	8734
702	20612	8708
703	20679	8694
704	20701	8662
705	20732	8633
706	20766	8606
707	20806	8581
708	20832	8550
709	20862	8521
710	20891	8491
711	20925	8464
712	20956	8435
713	20980	8403
714	21009	8374
715	21029	8341
716	21061	8312
717	21085	8281
718	21108	8249
719	21134	8219
720	21155	8186
721	21178	8154
722	21250	8141
723	21306	8122
724	21381	8110
725	21494	8112
726	21512	8078
727	21536	8046
728	21555	8013
729	21577	7980
730	21593	7946
731	21616	7914
732	21633	7880
733	21658	7849
734	21675	7815
735	21693	7781
736	21710	7747
737	21729	7714
738	21755	7683
739	21780	7652
740	21808	7622
741	21828	7590
742	21848	7557
743	21874	7526
744	21908	7498
745	21928	7466
746	21949	7434
747	21969	7401
748	21989	7369
749	22006	7335
750	22024	7302
751	22043	7269
752	22060	7236
753	22077	7203
754	22098	7170
755	22117	7138
756	22136	7105
757	22158	7074
758	22186	7044
759	22203	7011
760	22220	6978
761	22237	6945
762	22254	6912
763	22282	6882
764	22300	6850
765	22328	6820
766	22348	6789
767	22365	6756
768	22407	6731
769	22429	6699
770	22447	6667
771	22464	6634
772	22480	6601
773	22521	6575
774	22730	6599
775	22974	6631
776	23092	6627
777	23607	6736
778	23806	6753
779	23942	6753
780	24008	6732
781	24129	6726
782	24218	6711
783	24244	6679
784	24268	6646
785	24332	6624
786	24480	6625
787	24516	6595
788	24566	6569
789	24614	6543
790	24654	6514
791	24685	6483
792	24720	6452
793	24829	6442
794	25106	6474
795	25204	6459
796	25319	6448
797	25397	6428
798	25504	6415
799	25576	6394
800	25624	6366
801	25660	6335
802	25685	6301
803	25716	6269
804	25751	6237
805	25785	6206
806	25843	6180
807	25898	6154
808	25974	6132
809	26027	6105
810	26080	6077
811	26187	6063
812	26226	6032
813	26277	6004
814	26383	5988
815	26425	5958
816	26462	5927
817	26523	5901
818	26561	5870
819	26595	5838
820	26626	5805
821	26652	5771
822	26678	5737
823	26700	5703
824	26780	5680
825	26834	5652
826	26969	5641
827	27062	5621
828	27093	5588
829	27123	5555
830	27155	5522
831	27207	5493
832	27238	5460
833	27264	5426
834	27288	5392
835	27347	5364
836	27371	5330
837	27396	5296
838	27433	5264
839	27462	5230
840	27485	5196
841	27517	5163
842	27543	5129
843	27566	5095
844	27594	5061
845	27621	5027
846	27645	4993
847	27667	4959
848	27685	4924
849	27705	4889
850	27727	4854
851	27747	4819
852	27770	4785
853	27793	4751
854	27809	4716
855	27826	4681
856	27844	4646
857	27860	4610
858	27879	4576
859	27895	4541
860	27914	4506
861	27932	4471
862	27953	4437
863	27971	4402
864	27990	4368
865	28014	4334
866	28038	4301
867	28058	4266
868	28081	4233
869	28107	4199
870	28134	4166
871	28157	4133
872	28187	4100
873	28224	4068
874	28247	4035
875	28298	4005
876	28337	3974
877	28373	3942
878	28411	3911
879	28463	3881
880	28492	3848
881	28523	3816
882	28556	3783
883	28580	3750
884	28610	3717
885	28647	3686
886	28690	3655
887	28738	3624
888	28794	3595
889	28851	3565
890	28886	3533
891	28935	3503
892	28986	3473
893	29027	3441
894	29053	3408
895	29084	3375
896	29113	3342
897	29146	3310
898	29173	3277
899	29202	3244
900	29234	3212
901	29306	3184
902	29350	3152
903	29375	3119
904	29413	3087
905	29499	3060
906	29548	3029
907	29610	3000
908	29716	2974
909	29773	2944
910	29821	2913
911	29847	2879
912	29903	2849
913	29968	2819
914	30015	2788
915	30052	2755
916	30090	2723
917	30138	2692
918	30195	2661
919	30232	2628
920	30326	2601
921	30361	2568
922	30401	2536
923	30432	2503
924	30478	2471
925	30545	2441
926	30573	2407
927	30604	2374
928	30679	2344
929	30714	2311
930	30751	2279
931	30779	2245
932	30808	2212
933	30838	2179
934	30868	2145
935	30892	2112
936	30927	2079
937	30967	2046
938	31016	2014
939	31047	1981
940	31076	1948
941	31101	1914
942	31123	1881
943	31152	1848
944	31186	1815
945	31210	1781
946	31254	1749
947	31274	1715
948	31296	1681
949	31330	1648
950	31347	1615
951	31364	1581
952	31381	1547
953	31401	1514
954	31424	1480
955	31450	1447
956	31473	1414
957	31494	1380
958	31513	1347
959	31533	1313
960	31554	1280
961	31574	1247
962	31598	1214
963	31626	1181
964	31653	1148
965	31672	1114
966	31689	1081
967	31710	1048
968	31737	1015
969	31758	982
970	31777	949
971	31794	915
972	31811	882
973	31831	849
974	31849	816
975	31866	783
976	31885	750
977	31901	717
978	31918	684
979	31940	651
980	31965	619
981	31987	586
982	32005	553
983	32026	520
984	32047	488
985	32066	455
986	32085	422
987	32134	390
988	32157	357
989	32178	325
990	32194	292
991	32246	260
992	32265	227
993	32287	194
994	32310	162
995	32333	129
996	32364	97
997	32445	65
998	32485	32
999	32572	0
